#int	R	D	n	abbe
1	+inf	1.6100	1.45853	67.94
2	-2.4060	5.7597	1.75500	52.32
3	-6.5059	0.2000		
4	-25.5003	3.1500	1.49700	81.08
5	-10.9323	0.1200		
6	56.1096	6.4800	1.49700	81.08
7	-11.9889	1.9500	1.52944	51.72
8	-25.3665	0.1200		
9	223.7456	1.9500	1.75500	52.32
10	17.0397	6.5000	1.43875	94.99
11	-25.4913	0.1200		
12	12.1419	4.8264	1.43875	94.99
13	30.1344	0.2000		
14	10.8233	4.7695	1.43875	94.99
15	26.5356	1.5024	1.59551	39.21
16	6.2707	6.1162		
17	-6.9886	1.5000	1.61340	43.84
18	18.1665	6.3698	1.43875	94.99
19	-11.5665	0.2500		
20	-26.3050	3.3649	1.49700	81.08
21	-11.8757	0.1200		
22	10.9414	7.0500	1.43875	94.99
23	-25.6275	1.6500	1.52944	51.72
24	8.8733	5.6500		
25	-8.4093	1.7500	1.51633	64.14
26	95.8203	5.1500	1.61293	36.99
27	-12.3982	0	1.0	0